round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
10,4,220.9690927218345,72.0,72.0,38.08574277168495,38.88334995014955,96.0,90.0,70.98703888334995,77.06879361914257
11,0,251.48069022185703,80.0,76.0,44.45357436318817,51.02711585866886,100.0,96.0,81.84059161873459,88.5784716516023
11,1,258.25752508361205,80.0,76.0,45.31772575250836,56.93979933110368,100.0,98.0,80.60200668896321,87.04013377926421
11,2,199.9405099150142,62.0,56.0,36.26062322946176,45.67988668555241,96.0,92.0,67.84702549575071,76.62889518413597
11,3,235.56680731364276,74.0,84.0,32.70042194092827,44.86638537271449,94.0,98.0,64.55696202531645,83.12236286919831
11,4,222.47058823529412,74.0,72.0,37.68693918245264,38.783649052841476,96.0,90.0,70.68793619142572,77.26819541375872
12,0,251.2341824157765,80.0,76.0,44.37140509449466,50.86277732128184,100.0,96.0,81.10106820049302,88.74281018898932
12,1,258.0066889632107,80.0,76.0,45.40133779264214,56.60535117056856,100.0,98.0,80.2675585284281,87.20735785953177
12,2,197.30311614730877,62.0,54.0,35.977337110481585,45.32577903682719,96.0,92.0,67.98866855524079,76.55807365439094
12,3,235.70745428973277,74.0,84.0,32.77074542897328,44.936708860759495,94.0,98.0,64.69760900140648,82.55977496483825
12,4,220.66999002991025,72.0,72.0,37.986041874376866,38.6839481555334,96.0,90.0,70.28913260219342,76.76969092721835
13,0,252.63105998356616,80.0,76.0,45.43960558751027,51.191454396055875,100.0,96.0,82.00493015612162,89.15365653245686
13,1,259.9230769230769,80.0,78.0,45.40133779264214,56.52173913043478,100.0,98.0,80.60200668896321,87.29096989966555
13,2,197.37393767705382,62.0,54.0,36.331444759206796,45.04249291784703,96.0,92.0,67.84702549575071,77.19546742209631
13,3,235.70745428973277,76.0,82.0,32.9817158931083,44.72573839662447,94.0,98.0,65.11954992967651,83.0520393811533
13,4,218.5702891326022,74.0,68.0,37.786640079760716,38.783649052841476,96.0,90.0,70.7876370887338,76.86939182452642
14,0,253.72719802793753,80.0,78.0,44.7000821692687,51.02711585866886,100.0,96.0,81.67625308134758,88.74281018898932
14,1,260.0903010033445,80.0,78.0,45.23411371237458,56.8561872909699,100.0,98.0,80.60200668896321,87.37458193979933
14,2,198.87818696883852,64.0,54.0,35.906515580736546,44.97167138810198,96.0,90.0,68.27195467422096,76.62889518413597
14,3,237.70745428973277,76.0,84.0,32.63009845288326,45.077355836849506,94.0,98.0,65.33052039381154,83.26300984528832
14,4,218.9690927218345,74.0,68.0,37.786640079760716,39.18245264207378,96.0,90.0,71.48554336989032,77.16849451645065
15,0,253.80936729663105,80.0,78.0,44.7000821692687,51.10928512736237,100.0,96.0,81.59408381265406,88.33196384552177
15,1,260.09030100334445,80.0,78.0,44.98327759197324,57.10702341137124,100.0,98.0,80.51839464882943,87.37458193979933
15,2,199.37393767705385,64.0,54.0,36.18980169971671,45.184135977337114,96.0,92.0,67.77620396600567,76.48725212464589
15,3,235.35583684950774,74.0,84.0,32.9817158931083,44.37412095639944,94.0,98.0,64.9789029535865,82.48945147679325
15,4,219.96610169491527,74.0,68.0,38.584247258225325,39.38185443668993,96.0,90.0,71.9840478564307,77.56729810568295
16,0,249.56285949055055,78.0,76.0,44.45357436318817,51.10928512736237,100.0,96.0,81.59408381265406,88.6606409202958
16,1,259.1705685618729,80.0,78.0,44.48160535117057,56.68896321070234,100.0,98.0,80.51839464882943,87.876254180602
16,2,198.73654390934843,64.0,54.0,35.69405099150141,45.04249291784703,96.0,92.0,67.77620396600567,75.42492917847025
16,3,237.0042194092827,76.0,84.0,32.137834036568215,44.86638537271449,94.0,98.0,64.62728551336146,83.12236286919831
16,4,220.5643070787637,74.0,68.0,37.786640079760716,40.77766699900299,96.0,90.0,71.48554336989032,77.06879361914257
17,0,249.64502875924404,78.0,76.0,44.7000821692687,50.94494658997535,100.0,94.0,82.41577649958916,88.41413311421529
17,1,259.67224080267556,80.0,78.0,45.06688963210702,56.60535117056856,100.0,98.0,80.2675585284281,87.45819397993311
17,2,200.0113314447592,64.0,54.0,36.47308781869688,45.538243626062325,96.0,90.0,68.27195467422096,75.9915014164306
17,3,237.70745428973277,76.0,84.0,32.9817158931083,44.72573839662447,94.0,98.0,65.40084388185655,82.77074542897327
17,4,219.46759720837485,74.0,68.0,38.384845463609174,39.0827517447657,96.0,90.0,71.38584247258225,76.9690927218345
18,0,251.480690221857,80.0,76.0,44.7000821692687,50.780608052588335,100.0,96.0,82.00493015612162,88.74281018898932
18,1,259.67224080267556,80.0,78.0,45.06688963210702,56.60535117056856,100.0,98.0,80.2675585284281,87.20735785953177
18,2,201.30311614730877,64.0,56.0,35.76487252124646,45.538243626062325,94.0,92.0,67.98866855524079,76.48725212464589
18,3,237.07454289732772,76.0,84.0,32.70042194092827,44.37412095639944,94.0,98.0,64.9085794655415,82.41912798874824
18,4,224.06580259222332,74.0,72.0,38.384845463609174,39.68095712861416,96.0,90.0,71.48554336989032,76.5702891326022
19,0,253.64502875924404,80.0,78.0,44.7822514379622,50.86277732128184,100.0,96.0,81.84059161873459,88.4963023829088
19,1,259.67224080267556,80.0,78.0,44.81605351170568,56.8561872909699,100.0,98.0,80.51839464882943,87.04013377926421
